code,year_,freq,ITEM6008,ITEM7011,ITEM8406
9455,2020,A,DE0005557508,,
9471,2010,A,DE0007164600,,
9471,2011,A,DE0007164600,,
9471,2012,A,DE0007164600,,
9471,2013,A,DE0007164600,,
9471,2014,A,DE0007164600,,
9471,2015,A,DE0007164600,,
9471,2016,A,DE0007164600,,
9471,2017,A,DE0007164600,,
9471,2018,A,DE0007164600,,
9471,2019,A,DE0007164600,,
9473,2010,A,DE0007164600,53513,375703.10018
9473,2011,A,DE0007164600,55765,408141.30727
9473,2012,A,DE0007164600,64422,406305.29943
9473,2013,A,DE0007164600,66572,402571.65175
9473,2014,A,DE0007164600,74406,512754.34777
9473,2015,A,DE0007164600,76986,531746.03175
9473,2016,A,DE0007164600,84183,519190.33534
9473,2017,A,DE0007164600,88543,468416.47561
9473,2018,A,DE0007164600,96498,523078.19851
9473,2019,A,DE0007164600,100330,587700.58806
9473,2020,A,DE0007164600,,
9479,2010,A,DE000A1EWWW0,,
9479,2011,A,DE000A1EWWW0,,
9479,2012,A,DE000A1EWWW0,,
9479,2013,A,DE000A1EWWW0,,
9479,2014,A,DE000A1EWWW0,,
9479,2015,A,DE000A1EWWW0,,
9479,2016,A,DE000A1EWWW0,,
9479,2017,A,DE000A1EWWW0,,
9479,2018,A,DE000A1EWWW0,,
9479,2019,A,DE000A1EWWW0,,
9480,2010,A,DE000A1EWWW0,42541,237653.08761
9480,2011,A,DE000A1EWWW0,40637,267908.55624
9480,2012,A,DE000A1EWWW0,40168,276911.96973
9480,2013,A,DE000A1EWWW0,43537,255254.15164
9480,2014,A,DE000A1EWWW0,53731,220356.96339
9480,2015,A,DE000A1EWWW0,55555,228710.2871
9480,2016,A,DE000A1EWWW0,60617,238282.98992
9480,2017,A,DE000A1EWWW0,56888,244199.12811
9480,2018,A,DE000A1EWWW0,57016,262400.02806
9480,2019,A,DE000A1EWWW0,59533,329010.80073
9480,2020,A,DE000A1EWWW0,,
9849,2010,A,DE0008430026,,
9849,2011,A,DE0008430026,,
9849,2012,A,DE0008430026,,
9849,2013,A,DE0008430026,,
9849,2014,A,DE0008430026,,
9849,2015,A,DE0008430026,,
9849,2016,A,DE0008430026,,
9849,2017,A,DE0008430026,,
9849,2018,A,DE0008430026,,
9849,2019,A,DE0008430026,,
9850,2010,A,DE0008430026,46915,4793967.8141
9850,2011,A,DE0008430026,47206,4965449.3073
9850,2012,A,DE0008430026,45437,5423135.3302
9850,2013,A,DE0008430026,44665,5226150.2295
9850,2014,A,DE0008430026,43316,5823390.8948
9850,2015,A,DE0008430026,43554,5878197.1805
9850,2016,A,DE0008430026,43428,5902551.3494
9850,2017,A,DE0008430026,42410,5972553.643
9850,2018,A,DE0008430026,41410,6171794.2526
9850,2019,A,DE0008430026,39662,6822878.3218
9850,2020,A,DE0008430026,,
10087,2010,A,DE0007236101,,
10087,2011,A,DE0007236101,,
10087,2012,A,DE0007236101,,
10087,2013,A,DE0007236101,,
10087,2014,A,DE0007236101,,
10087,2015,A,DE0007236101,,
10087,2016,A,DE0007236101,,
10087,2017,A,DE0007236101,,
10087,2018,A,DE0007236101,,
10087,2019,A,DE0007236101,,
10087,2020,A,DE0007236101,,
10089,2010,A,DE0007236101,405000,244165.4321
10089,2011,A,DE0007236101,402000,251335.8209
10089,2012,A,DE0007236101,366700,284987.72839
10089,2013,A,DE0007236101,362000,272660.22099
10089,2014,A,DE0007236101,343000,296049.56268
10089,2015,A,DE0007236101,348000,338382.18391
10089,2016,A,DE0007236101,351000,348393.16239
10089,2017,A,DE0007236101,372000,353513.44086
10089,2018,A,DE0007236101,379000,360353.56201
10089,2019,A,DE0007236101,385000,382010.38961
10089,2020,A,DE0007236101,,
10091,2010,A,DE0007664039,,
10091,2011,A,DE0007664039,,
10091,2012,A,DE0007664039,,
10091,2013,A,DE0007664039,,
10091,2014,A,DE0007664039,,
10091,2015,A,DE0007664039,,
10091,2016,A,DE0007664039,,
10091,2017,A,DE0007664039,,
10091,2018,A,DE0007664039,,
10091,2019,A,DE0007664039,,
10092,2010,A,DE0007664039,399381,488618.63734
10092,2011,A,DE0007664039,501956,492658.71909
10092,2012,A,DE0007664039,549763,548834.67967
10092,2013,A,DE0007664039,563000,566094.13854
10092,2014,A,DE0007664039,592586,582752.54562
10092,2015,A,DE0007664039,610076,612889.2138
10092,2016,A,DE0007664039,626715,638210.3508
10092,2017,A,DE0007664039,642292,642049.09916
10092,2018,A,DE0007664039,664496,674232.802
10092,2019,A,DE0007664039,671205,707630.30669
10092,2020,A,DE0007664039,,
10095,2010,A,DE000BAY0017,111400,451813.28546
10095,2011,A,DE000BAY0017,111800,460232.55814
10095,2012,A,DE000BAY0017,110500,450271.49321
10095,2013,A,DE000BAY0017,113200,439231.44876
10095,2014,A,DE000BAY0017,118888,565683.66866
10095,2015,A,DE000BAY0017,116800,592791.09589
10095,2016,A,DE000BAY0017,115200,658750
10095,2017,A,DE000BAY0017,99820,702985.37367
10095,2018,A,DE000BAY0017,116998,1042812.6977
10095,2019,A,DE000BAY0017,103824,1172002.6198
10095,2020,A,DE000BAY0017,,
10096,2010,A,DE000BASF111,103449,568280.02204
10096,2011,A,DE000BASF111,108576,558373.85794
10096,2012,A,DE000BASF111,113262,559490.38512
10096,2013,A,DE000BASF111,112206,564943.05117
10096,2014,A,DE000BASF111,113292,610510.89221
10096,2015,A,DE000BASF111,112435,614088.13981
10096,2016,A,DE000BASF111,113830,649942.8973
10096,2017,A,DE000BASF111,115490,663693.82631
10096,2018,A,DE000BASF111,122404,688000.39214
10096,2019,A,DE000BASF111,117628,714651.27351
10096,2020,A,DE000BASF111,,
10112,2010,A,DE0005190003,,
10112,2011,A,DE0005190003,,
10112,2012,A,DE0005190003,,
10112,2013,A,DE0005190003,,
10112,2014,A,DE0005190003,,
10112,2015,A,DE0005190003,,
10112,2016,A,DE0005190003,,
10112,2017,A,DE0005190003,,
10112,2018,A,DE0005190003,,
10112,2019,A,DE0005190003,,
10114,2010,A,DE0005190003,95453,1125936.3247
10114,2011,A,DE0005190003,100306,1211323.3506
10114,2012,A,DE0005190003,105876,1226425.2522
10114,2013,A,DE0005190003,110351,1239209.4317
10114,2014,A,DE0005190003,116324,1313073.8283
10114,2015,A,DE0005190003,122244,1392534.6029
10114,2016,A,DE0005190003,124729,1492900.6085
10114,2017,A,DE0005190003,129932,1474278.8536
10114,2018,A,DE0005190003,134682,1539849.4231
10114,2019,A,DE0005190003,133778,1688169.9532
10114,2020,A,DE0005190003,,
12296,2010,A,IE00BWT6H894,2574,152387.72339
12296,2011,A,IE00BWT6H894,3216,128670.08706
12296,2012,A,IE00BWT6H894,3457,146142.03066
12296,2013,A,IE00BWT6H894,4156,129683.34937
12296,2014,A,IE00BWT6H894,4856,128769.76936
12296,2015,A,IE00BWT6H894,5069,108417.17561
12296,2016,A,IE00BWT6H894,7557,770841.04301
12296,2017,A,IE00BWT6H894,7503,738555.39171
12296,2018,A,IE00BWT6H894,7702,746278.09296
12296,2019,A,IE00BWT6H894,8890,717170.94331
12296,2020,A,IE00BWT6H894,,
12332,2010,A,IE0001827041,76418,275798.89555
12332,2011,A,IE0001827041,76433,276019.52036
12332,2012,A,IE0001827041,76175,275300.29537
12332,2013,A,IE0001827041,75642,268660.26811
12332,2014,A,IE0001827041,75706,288563.65414
12332,2015,A,IE0001827041,78106,407881.5968
12332,2016,A,IE0001827041,82889,379242.11898
12332,2017,A,IE0001827041,85363,369457.49329
12332,2018,A,IE0001827041,89831,390755.97511
12332,2019,A,IE0001827041,86951,428321.69843
12332,2020,A,IE0001827041,,
12612,2010,A,IT0003132476,78830,1611011.0364
12612,2011,A,IT0003132476,78686,1746574.9943
12612,2012,A,IT0003132476,77838,1730876.9496
12612,2013,A,IT0003132476,82289,1621431.7831
12612,2014,A,IT0003132476,84405,1670232.8061
12612,2015,A,IT0003132476,29053,4489828.9333
12612,2016,A,IT0003132476,33536,3600757.395
12612,2017,A,IT0003132476,32934,3365822.5542
12612,2018,A,IT0003132476,31701,3610043.8472
12612,2019,A,IT0003132476,32053,3715096.8708
12612,2020,A,IT0003132476,,
12684,2010,A,IT0000072618,,
12684,2011,A,IT0000072618,,
12684,2012,A,IT0000072618,,
12684,2013,A,IT0000072618,,
12684,2014,A,IT0000072618,,
12684,2015,A,IT0000072618,,
12684,2016,A,IT0000072618,,
12684,2017,A,IT0000072618,,
12684,2018,A,IT0000072618,,
12684,2019,A,IT0000072618,,
12685,2010,A,IT0000072618,102501,6368552.5019
12685,2011,A,IT0000072618,100118,6261591.3222
12685,2012,A,IT0000072618,96170,6900686.2847
12685,2013,A,IT0000072618,93845,6556598.6467
12685,2014,A,IT0000072618,89486,7096272.0426
12685,2015,A,IT0000072618,90807,7324336.2296
12685,2016,A,IT0000072618,89126,8010782.4877
